term,korean,category,definition
Post,글,Domain,"The central unit of content: a Markdown article with a title, slug, optional summary, and publication state. The aggregate root everything else hangs off of."
Category,카테고리,Domain,"A broad, mutually-exclusive bucket (e.g. 기획 / 일상 / 에세이). Every post belongs to exactly one."
Tag,태그,Domain,"A cross-cutting topic label. A post may have many; a tag spans many posts."
Series,시리즈,Domain,"An ordered collection of posts telling a longer story across multiple parts. A post belongs to at most one series and has a position within it. Optional."
Comment,댓글,Domain,"A reader's response attached to a published post. May reply to another comment (threaded). Always moderated."
Draft,초안,Post state,"A post that has been saved but not published; private to the author."
Published,발행,Post state,"A post visible to readers, with a publication timestamp."
Autosave,자동저장,Interaction,"Automatic, periodic saving of a draft while writing (at most once a minute, only when something changed). Keeps the post a draft; never publishes. Not applied to already-published posts."
Soft delete,소프트 삭제,Interaction,"Deleting a post marks it deleted (deletedAt) and releases its slug rather than removing the row. The post and its comments are hidden from every surface but retained in the database, recoverable there."
Pending,대기,Comment state,"A submitted comment awaiting the author's moderation; the default state of every new comment. Invisible to the public."
Approved,승인,Comment state,"A comment the author has approved; visible to the public on its post."
Spam,스팸,Comment state,"A comment the author has marked as spam; hidden from the public."
Slug,슬러그,Identifier,"The unique, URL-safe identifier for a post, category, tag, or series. May contain non-ASCII characters such as Hangul."
Series order,시리즈 순서,Attribute,"A post's integer position within its series."
Reading time,읽는 시간,Attribute,"Estimated minutes to read a post (~200 wpm, minimum 1), shown as N분 when available."
Excerpt,요약,Attribute,"An optional short summary of a post, shown in list views."
View count,조회수,Attribute,"A simple per-post view counter — the only analytic kept (see Out of Scope)."
Author,작성자,Actor,"The single privileged user (Inho). Authenticates via the homelab SSO (Authentik OIDC). There is exactly one."
Reader,독자,Actor,"Any anonymous public visitor. No accounts, no login."
